"mz","rt","SPC.15V.1","SPC.30V.1","SPC.45V.1","mzinmgf","rtinmgf","mz_ms2","int_ms2","CE"
432.2377482,757.081,26171.45011,29013.33924,16106.77538,432.2373,757,415.2147,7731,15
161.1324744,757.924,28262.65183,22505.94461,22752.16267,161.1324,758,119.0867,2948,15
346.3284449,763.6755,57013.46026,43921.34559,44346.92954,346.33192,762,284.295,10022,30
330.2438579,764.478,39882.28244,65703.764,63209.40092,330.24469,764,313.2206,18946,15
380.2524635,782.017,176856.1188,147829.5743,105421.2459,380.25555,780,264.2685,56548,15
361.3028874,783.653,45835,111887.6478,51372.64062,361.30292,783,343.2916,1597,15
357.2758691,791.454,188035.3367,39920.5815,163046.5027,357.27852,799,339.2675,6183,15
468.3039062,786.962,109072.3169,119253.9365,150794.6837,468.30807,785,184.0729,262894,30
258.2059034,786.963,21723.63958,33416.53855,39386.19712,258.2057,785,76.0437,4078,15
490.2888547,786.963,67572.58317,104796.2305,240011.0905,490.29014,784,431.2174,10162,30
506.2570436,786.963,92548.69137,107418.1796,75669.05088,506.26457,785,490.2847,938,15
470.3102078,786.963,50616.1825,290942.6274,63968.86528,470.31333,787,184.0739,5376,15
356.2584512,791.832,44734.50267,41993.19728,39940.26667,356.26014,792,339.2357,7097,15
512.3345069,804.981,144629.535,86981.11278,346723.608,512.33453,805,184.0741,31256,30
